Corpus,Threat Model,Defense Model,Metric,Higher is Better,Metric Type,Baseline Mean,Enhanced Mean,Mean Difference,Difference Std,95% CI Lower,95% CI Upper,P(Improvement),In ROPE,Conclusion
EBG,roberta,Gemma-2,accuracy@1,False,Effectiveness,0.0,0.3377777777777778,-0.34949858726770083,0.0299468361116767,-0.39270025968104627,-0.2964965173811922,0.0,0.0,Significant Increase (Enhanced > Baseline)
EBG,roberta,Llama-3.1,accuracy@5,False,Effectiveness,0.062222222222222213,0.7422222222222222,-0.6754575334985995,0.02621601265058506,-0.7060707648147245,-0.6308510325323161,0.0,0.0,Significant Increase (Enhanced > Baseline)
EBG,roberta,Ministral,accuracy@5,False,Effectiveness,0.10666666666666666,0.7111111111111111,-0.6004946303804077,0.021059295267784318,-0.6200035126437642,-0.5683302919782022,0.0,0.0,Significant Increase (Enhanced > Baseline)
EBG,roberta,Claude-3.5,accuracy@5,False,Effectiveness,0.671111111111111,0.49333333333333335,0.19480312503180688,0.023904684642401433,0.14909991506056489,0.23131589862113433,1.0,0.0,Significant Decrease (Enhanced < Baseline)
EBG,roberta,GPT-4o,accuracy@5,False,Effectiveness,0.76,0.7377777777777779,0.022347371076602094,0.0060331352612260775,0.011192737282698227,0.03348100255986931,1.0,0.016875,Significant Decrease (Enhanced < Baseline)
EBG,roberta,Gemma-2,accuracy@5,False,Effectiveness,0.06222222222222222,0.6488888888888888,-0.5904496183412374,0.03701815543677357,-0.6368869905703047,-0.5258056011463837,0.0,0.0,Significant Increase (Enhanced > Baseline)
EBG,roberta,Llama-3.1,true_class_confidence,False,Effectiveness,0.003779963729903102,0.48196423053741455,-0.47670123983623885,0.020831826365235926,-0.5020747438468076,-0.4386756123313296,0.0,0.0,Significant Increase (Enhanced > Baseline)
EBG,roberta,Ministral,true_class_confidence,False,Effectiveness,0.0052769224159419535,0.4741568684577942,-0.4627101926743358,0.015412266826810544,-0.47922767209463507,-0.4395460842206996,0.0,0.0,Significant Increase (Enhanced > Baseline)
EBG,roberta,Claude-3.5,true_class_confidence,False,Effectiveness,0.41976326107978823,0.22189167737960816,0.20103839607568164,0.010390824089438281,0.1830451662349622,0.21350160284172073,1.0,0.0,Significant Decrease (Enhanced < Baseline)
EBG,roberta,GPT-4o,true_class_confidence,False,Effectiveness,0.5078661203384399,0.4948834002017975,0.012705024536676286,0.006162994455455569,0.0013048957180885577,0.024063271858133825,0.97825,0.33075,Significant Decrease (Enhanced < Baseline)
EBG,roberta,Gemma-2,true_class_confidence,False,Effectiveness,0.0036694299429655074,0.26706365346908567,-0.2704947852351203,0.0192715212265785,-0.2976692507084045,-0.23495638790932977,0.0,0.0,Significant Increase (Enhanced > Baseline)
EBG,roberta,Llama-3.1,entropy,True,Effectiveness,1.421198540803586,1.6231164007549344,0.157905712565124,0.13966080393199673,-0.0974607645573552,0.4264361056716973,0.868,0.132125,Inconclusive
